19,龙猫,570622,9.1,人人心中都有个龙猫，童年就永远不会消失。
20,熔炉,380935,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,无间道,553221,9.1,香港电影史上永不过时的杰作。
70,看不见的客人,484285,8.7,你以为你以为的就是你以为的。
71,天使爱美丽,578777,8.7,法式小清新。
72,音乐之声,285372,8.9,用音乐化解仇恨，让歌声串起美好。
73,低俗小说,417783,8.8,故事的高级讲法。
74,勇敢的心,346984,8.8,史诗大片的典范。
22,当幸福来敲门,714260,9.0,平民励志片。
178,浪潮,154360,8.7,世界离独裁只有五天。
23,触不可及,474211,9.2,满满温情的高雅喜剧。
179,无敌破坏王,244470,8.7,迪士尼和皮克斯拿错剧本的产物。
180,香水,320442,8.4,一个单凭体香达到高潮的男人。
181,阿飞正传,250730,8.5,王家卫是一种风格，张国荣是一个代表。
24,怦然心动,770762,9.0,真正的幸福是来自内心深处。
25,疯狂动物城,735563,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
109,小森林 夏秋篇,179222,8.9,那些静得只能听见呼吸的日子里，你明白孤独即生活。
110,侧耳倾听,212049,8.8,少女情怀总是诗。
111,倩女幽魂,327753,8.6,两张绝世的脸。
112,恐怖直播,288229,8.7,恐怖分子的“秋菊打官司”。
113,风之谷,211620,8.8,动画片的圣经。
89,第六感,284710,8.8,深入内心的恐怖，出人意料的结局。
90,重庆森林,405827,8.7,寂寞没有期限。
91,狩猎,168324,9.1,人言可畏。
114,超脱,217231,8.8,穷尽一生，我们要学会的，不过是彼此拥抱。
92,穿条纹睡衣的男孩,198755,9.0,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
93,致命ID,391898,8.7,最不可能的那个人永远是最可能的。
75,大闹天宫,140566,9.3,经典之作，历久弥新。
115,爱在日落黄昏时,240457,8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
116,红辣椒,170836,8.9,梦的勾结。
117,菊次郎的夏天,232593,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
118,驯龙高手,352101,8.7,和谐的生活离不开摸头与被摸头。
151,纵横四海,185985,8.7,香港浪漫主义警匪动作片的巅峰之作。
152,无人知晓,96036,9.1,我的平常生活就是他人的幸福。
153,海边的曼彻斯特,250494,8.6,我们都有权利不与自己的过去和解。
154,时空恋旅人,251276,8.7,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
155,教父3,159929,8.8,任何信念的力量，都无法改变命运。
182,朗读者,308017,8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。
40,摔跤吧！爸爸,660154,9.1,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
41,窃听风暴,289152,9.1,别样人生。
119,幸福终点站,268756,8.7,有时候幸福需要等一等。
120,神偷奶爸,474779,8.5,Mr. I Don't Care其实也有Care的时候。
121,杀人回忆,253216,8.7,关于连环杀人悬案的集体回忆。
122,借东西的小人阿莉埃蒂,261434,8.7,曾经的那段美好会沉淀为一辈子的记忆。
123,请以你的名字呼唤我,243877,8.8,沉醉在电影的情感和视听氛围中无法自拔。
124,七武士,94735,9.2,时代悲歌。
125,哈利·波特与死亡圣器(下),340264,8.7,10年的完美句点。
133,东邪西毒,307661,8.6,电影诗。
134,喜宴,168666,8.8,中国家庭的喜怒哀乐忍。
135,疯狂原始人,442563,8.7,老少皆宜，这就是好莱坞动画的魅力。
136,贫民窟的百万富翁,448638,8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
137,萤火之森,205265,8.8,触不到的恋人。
156,虎口脱险,123792,8.9,永远看不腻的喜剧。
183,房间,192161,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
157,玩具总动员3,228984,8.8,跨度十五年的欢乐与泪水。
158,完美的世界,100285,9.0,坏人的好总是比好人的好来得更感人。
94,断背山,389607,8.7,每个人心中都有一座断背山。
159,花样年华,292887,8.6,偷情本没有这样美。
138,记忆碎片,329413,8.6,一个针管引发的血案。
95,加勒比海盗,434007,8.6,约翰尼·德普的独角戏。
96,阿凡达,650082,8.6,绝对意义上的美轮美奂。
139,黑天鹅,486865,8.5,黑暗之美。
160,达拉斯买家俱乐部,226157,8.7,Jared Leto的腿比女人还美！
